dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
MagicTelescope,1,500,0.7845924301441305,0.7106532246625861,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.07393920548154442
MagicTelescope,1,50,0.6177993809986216,0.6550222033103117,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.03722282231169005
MagicTelescope,2,100,0.6971639408057202,0.6811942871482657,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.015969653657454508
MagicTelescope,2,250,0.754370651624424,0.7254536130841325,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.028917038540291484
MagicTelescope,2,500,0.7722205856145825,0.7070672354787442,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.06515335013583834
MagicTelescope,2,50,0.6900083285144331,0.664572718114337,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.02543561040009601
bank-marketing,0,100,0.5,0.5549104358005855,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.05491043580058552
bank-marketing,0,250,0.507191650696663,0.5488458984414302,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.041654247744767114
bank-marketing,0,500,0.5059274656048143,0.5595889859649413,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.05366152036012706
bank-marketing,0,50,0.5,0.5368009251751571,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.036800925175157095
bank-marketing,1,100,0.5,0.6025298498010803,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.10252984980108026
bank-marketing,1,250,0.5047318163901361,0.5577836752038617,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.05305185881372565
bank-marketing,1,500,0.5734582682794891,0.5566328879882294,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.016825380291259684
bank-marketing,1,50,0.5,0.6016672328669185,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.10166723286691848
bank-marketing,2,100,0.5,0.5522608553608905,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.052260855360890535
bank-marketing,2,250,0.5191032808443999,0.5711024806673193,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.05199919982291934
bank-marketing,2,500,0.5800461758992819,0.5705554365285572,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.009490739370724643
bank-marketing,2,50,0.5,0.5677781355163806,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.06777813551638057
electricity,0,250,0.6574115277974338,0.6219962107546,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.03541531704283385
electricity,0,500,0.7372502656059703,0.627225234859463,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.11002503074650727
electricity,1,250,0.7047266152131924,0.6390242443933719,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.06570237081982044
electricity,1,500,0.7445380598904089,0.6620586854647257,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.0824793744256832
electricity,2,250,0.7292518881445056,0.6144293308722839,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.11482255727222168
electricity,2,500,0.7303609301092522,0.6566794918304986,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.07368143827875362
phoneme,0,100,0.6336461756982179,0.6558603233851388,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.02221414768692087
phoneme,0,250,0.7278787553470858,0.7225440566832377,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.005334698663848059
phoneme,0,500,0.7121574974812955,0.737897831436735,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.02574033395543951
phoneme,0,50,0.6276900589624589,0.6196343336581498,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.008055725304309092
