dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
jannis,2,250,0.4429225869797131,0.4454845697041244,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.002561982724411327
jannis,2,500,0.4545586568491521,0.4545586568491521,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
jannis,2,50,0.345423227310512,0.345423227310512,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,0,100,0.8109008979520583,0.8109008979520583,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,0,250,0.8241083216043119,0.8241083216043119,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,0,500,0.8458742939856487,0.8506049992908034,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.0047307053051546255
MagicTelescope,0,50,0.7716314068642962,0.7716314068642962,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,1,100,0.759324117413869,0.759324117413869,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,1,250,0.8363610574667495,0.8363610574667495,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,1,500,0.8423401307103968,0.8438985448739631,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.0015584141635662796
MagicTelescope,1,50,0.7299270072992701,0.7299270072992701,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,2,100,0.7792807291268881,0.7792807291268881,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,2,250,0.8212897195581886,0.8212897195581886,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,2,500,0.8261677195509148,0.8261677195509148,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
MagicTelescope,2,50,0.7322628100916864,0.7385273804458119,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.0062645703541255315
bank-marketing,0,100,0.6638213427113455,0.6728360595776817,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.009014716866336148
bank-marketing,0,250,0.6368846715190226,0.5885705475649641,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.04831412395405854
bank-marketing,0,500,0.657478933207704,0.657478933207704,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
bank-marketing,0,50,0.5713298682667052,0.5605110835178909,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.010818784748814259
