dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
MagicTelescope,0,250,0.771533210405915,0.7899950538080223,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.018461843402107214
MagicTelescope,0,500,0.8081268480027932,0.7911124931353402,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.017014354867453063
MagicTelescope,0,50,0.500373692077728,0.6547621645408952,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.15438847246316723
MagicTelescope,1,100,0.6962147083747031,0.76564687826185,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.06943216988714684
MagicTelescope,1,250,0.7678835753694186,0.7519348339206936,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.015948741448725046
MagicTelescope,1,500,0.7462849006579162,0.8149842340130711,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.06869933335515488
MagicTelescope,1,50,0.5042497245043807,0.6977412996119421,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.19349157510756143
MagicTelescope,2,100,0.7201173629522947,0.731419957157249,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.011302594204954275
MagicTelescope,2,250,0.7364534348757451,0.7948957844624107,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.05844234958666561
MagicTelescope,2,500,0.7686864223393306,0.7994682843623959,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.03078186202306532
MagicTelescope,2,50,0.5,0.7223104171894719,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.22231041718947187
bank-marketing,0,100,0.5,0.6533938279832342,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.1533938279832342
bank-marketing,0,250,0.5,0.5,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.0
bank-marketing,0,500,0.5797614383301393,0.6769037053170347,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.09714226698689543
bank-marketing,0,50,0.5,0.5513107042623634,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.051310704262363394
bank-marketing,1,100,0.5,0.5,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.0
