dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy,ranking_warning
electricity,unlabeled_attention_ssl,500,0.7335319430652102,0.009561346830360805,3,0.7264372538701398,0.005958890662886323,3,0.7265553368887159,0.0072971325849944,3,0.7265553368887159,0.0072971325849944,3,0.8066188625752383,0.008368778247792344,3,0.7688632418802399,0.011816330010745365,3,0.625828967980787,0.027786364721933406,3,6.623366666666667,0.04802294590436229,3,3,3,0,1.0,True,2.0,
electricity,embedding_alignment_ssl,500,0.5951671631909964,0.037499591107496566,3,0.5525166788589607,0.09355911461506852,3,0.4561661747326225,0.15714319775102947,3,0.4561661747326225,0.15714319775102947,3,0.5726972012206911,0.20312442599793723,3,0.5155798851541533,0.18523276142055686,3,0.6692967311854737,0.036790682951083266,3,3.311,0.2745744161425096,3,3,3,0,1.0,True,3.0,
phoneme,unlabeled_attention_ssl,50,0.7637989515880358,0.027353494953617098,3,0.6984704719749395,0.08396354265366442,3,0.6969828301689741,0.06882470971941587,3,0.6969828301689741,0.06882470971941587,3,0.814452684140695,0.014672908252127819,3,0.5790210525172187,0.015754623104270272,3,0.4809858452975324,0.01067790370633968,3,4.9492,2.8430111906216617,3,3,3,0,1.0,True,1.0,
phoneme,embedding_alignment_ssl,50,0.7360468701819304,0.0383913080517293,3,0.6723771064902747,0.05540538498738772,3,0.6705457329182618,0.05216054723589536,3,0.6705457329182618,0.05216054723589536,3,0.7940869627451952,0.01965969962531625,3,0.5671549275167801,0.03130058100157684,3,0.5206779617840215,0.05675682214649825,3,3.3359666666666663,0.019289980127862674,3,3,3,0,1.0,True,2.0,
phoneme,geometric_attention_ssl,50,0.7126117792167745,0.010958591208089324,3,0.5121427706299789,0.02079989899901215,3,0.44037528345742377,0.04319497151898685,3,0.44037528345742377,0.04319497151898685,3,0.7953972396099999,0.004946822602505328,3,0.5811113551171497,0.03773096796513062,3,0.5652194593163625,0.0736614621495272,3,4.627133333333333,0.1876395036588334,3,3,3,0,1.0,True,3.0,
phoneme,unlabeled_attention_ssl,100,0.7733580018501387,0.021871582641141352,3,0.7439922704675707,0.04885169992634405,3,0.7329544779087683,0.03358289022236448,3,0.7329544779087683,0.03358289022236448,3,0.8179430855368556,0.018219206220231397,3,0.6109740568977998,0.016001805216671775,3,0.5108739437903714,0.08035946597626398,3,4.951366666666666,2.9026711186996943,3,3,3,0,1.0,True,1.0,
phoneme,geometric_attention_ssl,100,0.7711995066296639,0.0291995821181871,3,0.6923244201474336,0.10096986089437635,3,0.687930846505097,0.09833622564437823,3,0.687930846505097,0.09833622564437823,3,0.8127831822110646,0.014628287506200092,3,0.5987273750738811,0.014207258508274425,3,0.4715677791205078,0.017013584074244893,3,5.6251,0.10283671523342232,3,3,3,0,1.0,True,2.0,
phoneme,embedding_alignment_ssl,100,0.7446808510638299,0.010425002469551034,3,0.6551067765537516,0.029066043348722096,3,0.6640108925972582,0.02702770259294025,3,0.6640108925972582,0.02702770259294025,3,0.8037158460920167,0.010711092129557745,3,0.5722452939946393,0.007079094707070893,3,0.4799644851014961,0.016023150275737735,3,3.2101666666666664,0.3089155601994394,3,3,3,0,1.0,True,3.0,
phoneme,unlabeled_attention_ssl,250,0.7897008942337341,0.005260167162883791,3,0.7657054299414779,0.006853183239914831,3,0.7552467595883768,0.001706441924034817,3,0.7552467595883768,0.001706441924034817,3,0.836070876068729,0.015454813019100974,3,0.6203116845704949,0.05250537112767396,3,0.4559589233804478,0.009390495904099582,3,4.058533333333333,0.8486781506161998,3,3,3,0,1.0,True,1.0,
phoneme,geometric_attention_ssl,250,0.7789084181313598,0.0115910861111394,3,0.7310002972897088,0.017677597778496444,3,0.7319445229632309,0.01567072062399119,3,0.7319445229632309,0.01567072062399119,3,0.8213977020606581,0.024012188806364004,3,0.6004144715520502,0.039147556454212265,3,0.4557985469488473,0.021991766842830898,3,7.858933333333334,0.9095393577703683,3,3,3,0,1.0,True,2.0,
phoneme,embedding_alignment_ssl,250,0.7434474252235584,0.0026704452783978946,3,0.6317784806293734,0.004620523922553917,3,0.6424585811976845,0.004833529333688641,3,0.6424585811976845,0.004833529333688641,3,0.8045320164500306,0.01347598035193442,3,0.57941990872895,0.02704360810406305,3,0.4831685829431227,0.015442486293941791,3,3.404533333333333,0.0014011899704655776,3,3,3,0,1.0,True,3.0,
phoneme,unlabeled_attention_ssl,500,0.799568300955905,0.016164467988999245,3,0.7748395186108863,0.021798133204732353,3,0.7653412249091147,0.01637892527286804,3,0.7653412249091147,0.01637892527286804,3,0.8666710709586493,0.015748761942092418,3,0.6892300658755524,0.024268863854469896,3,0.431536972930775,0.01883741005026688,3,4.677966666666666,0.676953893063134,3,3,3,0,1.0,True,1.0,
phoneme,geometric_attention_ssl,500,0.786308973172988,0.018056633946293386,3,0.7254694699985135,0.03229659527133475,3,0.7323357977652822,0.02910137829312319,3,0.7323357977652822,0.02910137829312319,3,0.8522332513033953,0.01073379435228017,3,0.6614139859990943,0.046876494343250585,3,0.431184529576966,0.016643999980942827,3,10.727233333333333,0.5893393278352745,3,3,3,0,1.0,True,2.0,
phoneme,embedding_alignment_ssl,500,0.7446808510638298,0.005550416281221104,3,0.6304977951013262,0.017080531909958417,3,0.639974227954188,0.01855740549920522,3,0.639974227954188,0.01855740549920522,3,0.8069846565478058,0.012084209269322091,3,0.588317440623892,0.01764491579174192,3,0.4829578089933791,0.018099622277878816,3,3.3894333333333333,0.06270999388720526,3,3,3,0,1.0,True,3.0,
satimage,embedding_alignment_ssl,50,0.7594608605495076,0.03811322204808975,3,0.6664463295561038,0.04728889548116434,3,0.6244793034895316,0.06700019585386577,3,0.6244793034895316,0.06700019585386577,3,0.9492728300134058,0.009584879367161117,3,,,0,0.759991158632099,0.05228678240110773,3,3.562,0.27497207130906953,3,3,3,0,1.0,True,1.0,
