dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
letter,6,xgboost,250,0.6085,,1,0.6079875570343201,,1,0.6056830436273454,,1,0.6056830436273454,,1,0.944430467440459,,1,,,0,1.4031938314437866,,1,42.8533,,1,,,0,,,0
letter,6,xgboost,500,0.71425,,1,0.713745460105899,,1,0.7136171785385979,,1,0.7136171785385979,,1,0.9674246210517896,,1,,,0,1.061222791671753,,1,32.8571,,1,,,0,,,0
phoneme,1489,catboost,50,0.7696577243293247,,1,0.6515516871190976,,1,0.6671011834604934,,1,0.6671011834604934,,1,0.793627264769518,,1,0.607332611866867,,1,0.6975903983388685,,1,10.6209,,1,,,0,,,0
phoneme,1489,catboost,100,0.755781683626272,,1,0.6611145060861809,,1,0.6733660519713589,,1,0.6733660519713589,,1,0.825495069945662,,1,0.5882385878974816,,1,0.7324582456642603,,1,1.3437,,1,,,0,,,0
phoneme,1489,catboost,250,0.7927844588344126,,1,0.7408170512164104,,1,0.7452381553586007,,1,0.7452381553586007,,1,0.869733430227757,,1,0.6717264378115148,,1,0.5343746150470556,,1,3.2427,,1,,,0,,,0
phoneme,1489,catboost,500,0.8251618871415356,,1,0.7701826680099757,,1,0.7804113639368154,,1,0.7804113639368154,,1,0.8949782813351611,,1,0.7635521643965519,,1,0.4042372229105427,,1,3.7327,,1,,,0,,,0
phoneme,1489,label_propagation,50,0.7437557816836263,,1,0.6018506284374122,,1,0.6054645759136503,,1,0.6054645759136503,,1,0.7379308636266043,,1,0.5348427862213693,,1,0.6564298097370243,,1,4.2635,,1,,,0,,,0
phoneme,1489,label_propagation,100,0.7317298797409806,,1,0.5951884486432029,,1,0.5983122168235029,,1,0.5983122168235029,,1,0.7762358168034751,,1,0.5420097225206013,,1,0.6063522169615828,,1,3.2077,,1,,,0,,,0
phoneme,1489,label_propagation,250,0.7705827937095282,,1,0.6965023039952434,,1,0.706538111251226,,1,0.706538111251226,,1,0.8327580226931145,,1,0.6148117271962534,,1,0.5182568508310299,,1,3.7399,,1,,,0,,,0
phoneme,1489,label_propagation,500,0.793709528214616,,1,0.7211690917799396,,1,0.7340484567257675,,1,0.7340484567257675,,1,0.8631847985862222,,1,0.6943441195863734,,1,0.4305599892510285,,1,2.1703,,1,,,0,,,0
phoneme,1489,label_spreading,50,0.7206290471785384,,1,0.6196343336581498,,1,0.6272754258574234,,1,0.6272754258574234,,1,0.7321997786843278,,1,0.4988781288373849,,1,1.0694937164879854,,1,4.108,,1,,,0,,,0
phoneme,1489,label_spreading,100,0.7261794634597595,,1,0.6558603233851388,,1,0.6599733059024561,,1,0.6599733059024561,,1,0.7824252233801839,,1,0.5336475332282942,,1,1.2120790406453843,,1,2.9087,,1,,,0,,,0
phoneme,1489,label_spreading,250,0.782608695652174,,1,0.7225440566832377,,1,0.7292202511082853,,1,0.7292202511082853,,1,0.8478702495581945,,1,0.6347861768196392,,1,0.7404221464751042,,1,2.6294,,1,,,0,,,0
phoneme,1489,label_spreading,500,0.7964847363552267,,1,0.737897831436735,,1,0.7457210308872713,,1,0.7457210308872713,,1,0.8674707252217284,,1,0.7115438501413902,,1,0.509016085050379,,1,2.1032,,1,,,0,,,0
phoneme,1489,lightgbm,50,0.7067530064754857,,1,0.5,,1,0.4140921409214092,,1,0.4140921409214092,,1,0.5,,1,0.2932469935245143,,1,0.6051424941170336,,1,2.2878,,1,,,0,,,0
phoneme,1489,lightgbm,100,0.7659574468085106,,1,0.6978442367086726,,1,0.7054340462334983,,1,0.7054340462334983,,1,0.8015632483855517,,1,0.5737991162100589,,1,0.6489962353223561,,1,0.4715,,1,,,0,,,0
phoneme,1489,lightgbm,250,0.7927844588344126,,1,0.7500454192610699,,1,0.7500454192610699,,1,0.7500454192610699,,1,0.8499388904487424,,1,0.6616143027808177,,1,0.8270080807540554,,1,2.91,,1,,,0,,,0
phoneme,1489,lightgbm,500,0.8344125809435707,,1,0.7905697226947661,,1,0.7962175249621658,,1,0.7962175249621658,,1,0.8859563644771831,,1,0.7481501094751634,,1,0.6693191303831689,,1,6.1484,,1,,,0,,,0
phoneme,1489,logistic_regression,50,0.7215541165587419,,1,0.5649185756519729,,1,0.5544660743211509,,1,0.5544660743211509,,1,0.756990437181033,,1,0.5155103461173063,,1,0.5325736999511719,,1,0.1714,,1,,,0,,,0
phoneme,1489,logistic_regression,100,0.7428307123034228,,1,0.6593348968569871,,1,0.6680796826126142,,1,0.6680796826126142,,1,0.7890935967099938,,1,0.5436624605737574,,1,0.4985902607440948,,1,0.1005,,1,,,0,,,0
phoneme,1489,logistic_regression,250,0.7335800185013877,,1,0.6361793317587989,,1,0.6454284542845428,,1,0.6454284542845428,,1,0.8027152460072341,,1,0.580999261768317,,1,0.4848199784755707,,1,0.1384,,1,,,0,,,0
phoneme,1489,logistic_regression,500,0.7400555041628122,,1,0.652757362049317,,1,0.6617967157335934,,1,0.6617967157335934,,1,0.7966538391662674,,1,0.5576269903891635,,1,0.4846219718456268,,1,0.1109,,1,,,0,,,0
phoneme,1489,mlp,50,0.7067530064754857,,1,0.5,,1,0.4140921409214092,,1,0.4140921409214092,,1,0.7114803375889804,,1,0.4781134256532181,,1,0.6253673434257507,,1,0.1706,,1,,,0,,,0
phoneme,1489,mlp,100,0.7132284921369103,,1,0.5590285232959519,,1,0.5484617706345869,,1,0.5484617706345869,,1,0.798937189290964,,1,0.561507673054279,,1,0.5224124789237976,,1,0.2219,,1,,,0,,,0
phoneme,1489,mlp,250,0.7224791859389454,,1,0.5572674946735594,,1,0.5398694665153234,,1,0.5398694665153234,,1,0.8022280212066659,,1,0.5870010079356894,,1,0.5253142714500427,,1,0.2139,,1,,,0,,,0
phoneme,1489,mlp,500,0.7687326549491211,,1,0.7044217715163427,,1,0.7110466260082628,,1,0.7110466260082628,,1,0.8163637339587428,,1,0.5863552115899504,,1,0.4652813374996185,,1,0.5655,,1,,,0,,,0
