method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
mlp,50,0.6147202337238354,0.15671332769557944,30,0.5106537434526,0.1398916293035556,30,0.48363105312669175,0.15324816308254216,30,0.48363105312669175,0.15324816308254216,30,0.6799570377757262,0.14407937893350437,30,0.44648554064094004,0.21640577907230132,18,0.9476656198501587,0.4230404513379174,30,0.4479066666666667,0.3150853829912023,30,,,0,,,0
mlp,100,0.6130800242856661,0.1958460869855262,30,0.504777554410819,0.1799370713510503,30,0.4906062343484111,0.19439419571831454,30,0.4906062343484111,0.19439419571831454,30,0.6855113277182612,0.1501886751828435,30,0.4818040237675537,0.23861951587431193,18,0.9288157373666763,0.4898393072224119,30,0.5359533333333334,0.355514857086445,30,,,0,,,0
mlp,250,0.7175376575469984,0.12095484520274337,30,0.5857032800327532,0.1591114657568247,30,0.574465052784584,0.16487453256737572,30,0.574465052784584,0.16487453256737572,30,0.7588291119309607,0.1564694405227099,30,0.550202503044059,0.26348736492047914,18,0.7828013439973195,0.32509973602991576,30,0.5686933333333334,0.3209456704838045,30,,,0,,,0
mlp,500,0.7615548445952387,0.10683392147744546,30,0.6492015841634375,0.1606652021695927,30,0.6421520364610497,0.17189495495516066,30,0.6421520364610497,0.17189495495516066,30,0.8023798265515798,0.1621003602562577,30,0.5936356078894115,0.27835833907795765,18,0.6437642584244411,0.23695602854254066,30,0.6559533333333333,0.28454539875742674,30,,,0,,,0
random_forest,50,0.7461120137581749,0.11888565113860255,30,0.6605505874187003,0.1443047835244142,30,0.6642423782824235,0.14764879376213205,30,0.6642423782824235,0.14764879376213205,30,0.8335510982066896,0.09759320380489152,30,0.6383288972212529,0.19972494966855367,18,0.6313860879021996,0.2890805031184124,30,2.2424466666666665,0.7406977776037446,30,,,0,,,0
random_forest,100,0.7780122166609407,0.11613237021178648,30,0.6990609481073201,0.14808133232798013,30,0.7060405495083636,0.14767398466744733,30,0.7060405495083636,0.14767398466744733,30,0.8646149891809635,0.08390003705949046,30,0.6936191148987856,0.17624845473242007,18,0.5517732291621964,0.275294968109778,30,2.3837266666666665,1.0717841953179443,30,,,0,,,0
random_forest,250,0.8095885832952278,0.10339028386863555,30,0.7310990813593659,0.14818622651566893,30,0.741895059782932,0.14496004943624083,30,0.741895059782932,0.14496004943624083,30,0.8915731488864665,0.07241275041166216,30,0.7397382436017516,0.16285516026305827,18,0.48132083949956794,0.24137627018547064,30,2.2498199999999997,0.6001665598700139,30,,,0,,,0
random_forest,500,0.8280002303139052,0.09707969297735936,30,0.7535340773035023,0.14935239319534013,30,0.7650755769989229,0.14546707968624487,30,0.7650755769989229,0.14546707968624487,30,0.9067795956919495,0.06657634908168125,30,0.767824993816092,0.14886820581184954,18,0.43678182593174164,0.22895837957064274,30,2.3275900000000003,0.6064801775479728,30,,,0,,,0
rpl_lite_xgboost,50,0.7084095628848621,0.10310103733739637,30,0.6453614296161093,0.12969818516977621,30,0.6438084923102898,0.12802355352131356,30,0.6438084923102898,0.12802355352131356,30,0.7920938256914469,0.10442065856181822,30,0.5933430222145718,0.2218567683101976,18,1.2466302692890168,0.5517379400771173,30,16.690963333333332,9.54720688750103,30,2395.5333333333333,1064.2700180237944,30,0.2888398837643745,0.19601298907864786,30
rpl_lite_xgboost,100,0.74017925727178,0.10960548719805371,30,0.6967353021565705,0.13076282726464403,30,0.6903353115615848,0.13658715200081664,30,0.6903353115615848,0.13658715200081664,30,0.8287116631963813,0.09625376391106498,30,0.6406731296611461,0.22024194264855498,18,1.0438035209973653,0.5471801071255131,30,18.443686666666668,10.743752610887594,30,2422.766666666667,1087.0637351911876,30,0.2945194760055973,0.1995808587247631,30
