dataset,method,n_labeled,pseudo_label_fraction,pseudo_label_fraction,pseudo_label_fraction,n_pseudo_added_total,n_pseudo_added_total,n_pseudo_added_total,runtime_seconds,runtime_seconds,runtime_seconds
,,,mean,std,count,mean,std,count,mean,std,count
jannis,self_training_lr,100,0.14140477827946055,0.002846667551798196,3,9458.0,190.40220586957494,3,1.5625666666666664,0.09972463754425653,3
jannis,self_training_lr,250,0.13648305762007507,0.014829949868669395,3,9108.333333333334,989.6915344355199,3,1.7052666666666667,0.16000704151172004,3
jannis,self_training_lr,500,0.11872674949112089,0.006336433955614699,3,7893.666666666667,421.28414797299627,3,1.7163000000000002,0.09517725568642955,3
jannis,self_training_xgboost,50,0.05870782040556147,0.0025575314711192036,3,3929.6666666666665,171.1909265508349,3,22.605933333333336,0.7516866989200577,3
jannis,self_training_xgboost,100,0.0637402944313209,0.0028933716079739403,3,4263.333333333333,193.52605337094354,3,32.57533333333333,1.5744176997650061,3
jannis,self_training_xgboost,250,0.0674348677375529,8.651256730879191e-06,3,4500.333333333333,0.5773502691895601,3,43.1124,1.3017226240639754,3
jannis,self_training_xgboost,500,0.06768342207382,0.0,3,4500.0,0.0,3,55.63956666666667,1.5485311922377705,3
phoneme,rpl_lite_xgboost,50,0.46657305562056317,0.037427106146858465,3,1993.6666666666667,159.92602456552632,3,7.5408,3.375462058740995,3
phoneme,rpl_lite_xgboost,100,0.4844107664377615,0.006699067769427374,3,2045.6666666666667,28.290163190291644,3,9.209666666666665,0.9259778957044996,3
phoneme,rpl_lite_xgboost,250,0.4883378345200098,0.0,3,1989.0,0.0,3,7.5500333333333325,0.4445370325780893,3
phoneme,rpl_lite_xgboost,500,0.4883599267590897,0.0,3,1867.0,0.0,3,9.498266666666668,0.7832976467048357,3
phoneme,rpl_lr,50,,,0,,,0,0.9055666666666667,0.45829837806098905,3
phoneme,rpl_lr,100,,,0,,,0,0.7847666666666667,0.5269215627902634,3
phoneme,rpl_lr,250,,,0,,,0,1.5740333333333334,0.6941224987949413,3
phoneme,rpl_lr,500,,,0,,,0,1.6202666666666665,0.7462107566454219,3
phoneme,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,1.1462,0.7970304322922683,3
