dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean,n_paired_seeds,n_expected_seeds,pair_complete,comparison_warning
bank-marketing,self_training_xgboost,xgboost,250,0.10165486326559843,0.020299181287992556,0.04822431126075374,0.013446986634709321,0.005006492561075697,0.009522291520806758,2.477527808732667,0.07289752584590824,3,3,True,
bank-marketing,self_training_xgboost,xgboost,500,0.07595838763529124,0.0035788541319450697,0.040900219179089,0.007213130874056285,-0.002563644262102982,0.0022994493005157133,2.5151453752574855,0.07686628537250943,3,3,True,
electricity,rpl_lite_xgboost,xgboost,50,0.0029358346472440435,0.019859536017340924,0.0006543421764521051,0.020738106141781686,0.002097622735206639,0.03510954112545438,16.63452462285588,0.082875217547446,3,3,True,
electricity,rpl_lite_xgboost,xgboost,100,-0.0005652972095925671,0.012885146117614306,-0.0018269869195018569,0.012173718233514836,-0.0036157294546556398,0.0034458589475801433,13.954263949711141,0.0829898475753132,3,3,True,
electricity,rpl_lite_xgboost,xgboost,250,-0.008714359133822161,0.0030602131283853917,-0.010002984136426899,0.00346596867837314,-0.010752914024726149,0.001810731343096677,12.08894163123805,0.0833356482124503,3,3,True,
electricity,rpl_lite_xgboost,xgboost,500,-0.0016433684218919813,0.004026353482984969,-0.0017662890081156697,0.004222007784592478,-0.00048302414074223127,0.001720896891555619,10.04727815605868,0.0839184312847911,3,3,True,
electricity,rpl_lr,logistic_regression,50,-0.014394265568762221,0.01589648927338161,-0.01681680573061417,0.018138077298461053,-0.010351000199993465,0.009010607365276995,2.8849850844726848,,3,3,True,
electricity,rpl_lr,logistic_regression,100,-0.007223602022259727,0.008621962398099939,-0.00752788742143599,0.00877403532984398,-0.00818154425536973,0.0073187610378279986,2.033739820124961,,3,3,True,
electricity,rpl_lr,logistic_regression,250,-0.0006664982336123856,0.005811351762869614,-0.0006359492267703862,0.006520437749230516,-0.0009700514734071927,0.004718340418761026,1.8794651852956863,,3,3,True,
electricity,rpl_lr,logistic_regression,500,-0.00033938263804034197,0.0033526259186086836,-0.0005149338422535399,0.003515999705175144,-0.002157861637727391,0.002240436108122138,2.0999318564917293,,3,3,True,
electricity,self_training_catboost,catboost,50,-8.405041962126584e-06,0.02527727126272275,0.0008161496420185562,0.027315301747403917,0.016817010608956868,0.0272731272012797,0.4761682901246094,0.0,3,3,True,
electricity,self_training_catboost,catboost,100,-0.0004740709438696422,0.0050284400526373185,0.0012064229864839164,0.005890759372677577,0.003156649717052392,0.004362715173898798,0.5558696349620044,0.0,3,3,True,
