timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision,best_epoch,best_val_loss,epochs_trained,final_train_loss,finetune_epochs_trained,neural_method,neural_validation_strategy,pretrain_epochs_trained,method_fidelity,reference_family,labeled_class_counts,test_class_counts,train_pool_class_counts,unlabeled_class_counts,val_class_counts
2026-06-29T11:18:24.368976+00:00,phoneme,1489,catboost,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,2.3284,success,,0.7927844588344126,0.7408170512164104,0.7452381553586007,0.5343746150470556,0.869733430227757,0.6717264378115148,,,,,,,,,,,,,,,
2026-06-29T11:18:26.703159+00:00,phoneme,1489,catboost,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,3.0028,success,,0.8251618871415356,0.7701826680099757,0.7804113639368154,0.4042372229105427,0.8949782813351611,0.7635521643965519,,,,,,,,,,,,,,,
2026-06-29T11:18:29.712701+00:00,phoneme,1489,catboost,1,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,1.5385,success,,0.7409805735430157,0.6820197532495417,0.6840105232388191,0.8032868949836679,0.7736902736716932,0.4901695965655829,,,,,,,,,,,,,,,
2026-06-29T11:18:31.259316+00:00,phoneme,1489,catboost,1,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,2.2287,success,,0.7622571692876966,0.7081461509240755,0.7102441914190386,0.8932677885892628,0.8230795910614894,0.5435447021252191,,,,,,,,,,,,,,,
2026-06-29T11:18:33.538869+00:00,phoneme,1489,catboost,1,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,4.3586,success,,0.8149861239592969,0.753755347085735,0.7653957671406497,0.4677801683848805,0.8791723784828315,0.6978053869873138,,,,,,,,,,,,,,,
2026-06-29T11:18:37.909647+00:00,phoneme,1489,catboost,1,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,3.2797,success,,0.8371877890841813,0.7953015838935042,0.800221770467566,0.4206711982921,0.8982113069185922,0.7649412694595895,,,,,,,,,,,,,,,
2026-06-29T11:18:41.202205+00:00,phoneme,1489,catboost,2,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,15,35,3.3155,success,,0.7400555041628122,0.6952078550547509,0.6917311851200099,0.6641556587458769,0.8153645102152048,0.5685941680945976,,,,,,,,,,,,,,,
2026-06-29T11:18:44.531728+00:00,phoneme,1489,catboost,2,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,30,70,4.3208,success,,0.7659574468085106,0.7199923200158554,0.718974678302543,0.58758550495887,0.8450852230498621,0.6578522159650071,,,,,,,,,,,,,,,
2026-06-29T11:18:48.865774+00:00,phoneme,1489,catboost,2,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,74,176,4.0657,success,,0.8075855689176689,0.771590665103143,0.7695851778980161,0.4896933406190403,0.885601268436091,0.7466725363757941,,,,,,,,,,,,,,,
2026-06-29T11:18:52.943529+00:00,phoneme,1489,catboost,2,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,stratified_labeled_val,2,True,147,353,3.9544,success,,0.8344125809435707,0.7896468858903001,0.7958141149630511,0.3876741953980498,0.9088476720564188,0.7795626182913828,,,,,,,,,,,,,,,
