timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-28T16:00:43.875784+00:00,spambase,44,catboost,2,50,3630,40,10,921,2,57,57,,,,,2.4723,success,,0.8479913137893594,0.8129387718830534,0.8284277198211625,0.4368731114374811,0.9352888612419404,0.9149296449519853
2026-06-28T16:00:46.355098+00:00,spambase,44,catboost,2,100,3580,80,20,921,2,57,57,,,,,3.163,success,,0.8642779587404995,0.8571862318196629,0.8577011928997067,0.40854458391331927,0.9286313773117292,0.9227571195143115
2026-06-28T16:00:49.524365+00:00,spambase,44,catboost,2,250,3430,200,50,921,2,57,57,,,,,3.8375,success,,0.9370249728555917,0.9292559021298024,0.9333953437337908,0.19456973191815702,0.9737255250451731,0.969515429224355
2026-06-28T16:00:53.368324+00:00,spambase,44,catboost,2,500,3180,400,100,921,2,57,57,,,,,4.9125,success,,0.9348534201954397,0.9303519061583578,0.9315953654188949,0.19149985569121547,0.975655874482854,0.9701259616140582
2026-06-28T16:00:58.286405+00:00,spambase,44,mlp,0,50,3630,40,10,921,2,57,57,,,,,0.1744,success,,0.6807817589576547,0.6455833999822269,0.6485280373831775,0.6287200007885068,0.7080087285365878,0.6255603426073562
2026-06-28T16:00:58.468361+00:00,spambase,44,mlp,0,100,3580,80,20,921,2,57,57,,,,,0.315,success,,0.8773072747014115,0.8746778636807963,0.8723213968056119,0.38709536780536646,0.9387027656822378,0.8938568266943464
2026-06-28T16:00:58.787334+00:00,spambase,44,mlp,0,250,3430,200,50,921,2,57,57,,,,,0.2668,success,,0.8675352877307275,0.8550608726561806,0.859442081561171,0.47997876824638136,0.9325661305133446,0.9055833465056322
2026-06-28T16:00:59.057983+00:00,spambase,44,mlp,0,500,3180,400,100,921,2,57,57,,,,,0.312,success,,0.8914223669923995,0.8747741343049261,0.8832983608551531,0.38505120285028716,0.9530841158407142,0.9267975557549418
2026-06-28T16:00:59.374159+00:00,spambase,44,mlp,1,50,3630,40,10,921,2,57,57,,,,,0.1544,success,,0.6948968512486428,0.7048861044462218,0.6916851817656555,0.6420754661766159,0.7539421586342409,0.6230927565541071
2026-06-28T16:00:59.535186+00:00,spambase,44,mlp,1,100,3580,80,20,921,2,57,57,,,,,0.1487,success,,0.6840390879478827,0.6988136496934151,0.6820962283689003,0.6467871516325687,0.7440090050060726,0.6204425027563142
