dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
letter,6,rpl_lite_xgboost,500,0.6920000000000001,0.014422205101855889,3,0.691482822707436,0.014329587240015276,3,0.6904217683282156,0.01426720477195609,3,0.6904217683282156,0.01426720477195609,3,0.9580965386382472,0.0025880981036449364,3,,,0,1.258117953936259,0.036995772265990046,3,60.0693,2.814140257698612,3,6000.0,0.0,3,0.3870967741935483,0.0,3,3,3,0,1.0,True
letter,6,rpl_lr,50,0.2634166666666667,0.04167758190362456,3,0.2626721823725082,0.043725303576300056,3,0.2310295965297596,0.054525089048519694,3,0.2310295965297596,0.054525089048519694,3,0.7610906281789297,0.03233565019366945,3,,,0,3.797623634338379,0.5467469741984476,3,0.9413,0.11234860924817885,3,,,0,,,0,3,3,0,1.0,True
letter,6,rpl_lr,100,0.43133333333333335,0.013496141423878666,3,0.43078009969197883,0.013745171235393218,3,0.4180018417272708,0.006213525215223041,3,0.4180018417272708,0.006213525215223041,3,0.8691464477729132,0.01614255322535478,3,,,0,2.677647272745768,0.20116855692691568,3,1.2808333333333335,0.06836770680177397,3,,,0,,,0,3,3,0,1.0,True
letter,6,rpl_lr,250,0.5375,0.018829830057650484,3,0.5354926596116093,0.01925423667247358,3,0.521765973450588,0.023548215843266065,3,0.521765973450588,0.023548215843266065,3,0.9178642654156047,0.00437391255440445,3,,,0,1.9946465094884236,0.044558140991531374,3,1.3104666666666667,0.267378090600807,3,,,0,,,0,3,3,0,1.0,True
letter,6,rpl_lr,500,0.6268333333333334,0.0115713367133332,3,0.6251323667890974,0.011472678507615049,3,0.6134253082192246,0.011107249522069365,3,0.6134253082192246,0.011107249522069365,3,0.9514521492242326,0.004152739862513399,3,,,0,1.444018801053365,0.06635501417458238,3,1.5274333333333334,0.14239277837493503,3,,,0,,,0,3,3,0,1.0,True
letter,6,self_training_catboost,50,0.27216666666666667,0.033182575748927835,3,0.2706623558723202,0.03480298862588967,3,0.230378637688868,0.04664328051343125,3,0.230378637688868,0.04664328051343125,3,0.8083920922213014,0.03339840647198343,3,,,0,2.862028545517383,0.05237230642619787,3,13.7408,3.843474585580083,3,0.0,0.0,3,0.0,0.0,3,3,3,0,1.0,True
letter,6,self_training_catboost,100,0.5031666666666667,0.0021842237370135508,3,0.5015359049876765,0.002332848198763157,3,0.4991031331264,0.005642395026380741,3,0.4991031331264,0.005642395026380741,3,0.8961804202500133,0.006624978632650619,3,,,0,2.4537259745398488,0.008334391397779339,3,14.888733333333334,0.5248339959771398,3,0.0,0.0,3,0.0,0.0,3,3,3,0,1.0,True
letter,6,self_training_catboost,250,0.5966666666666667,0.021587515682295045,3,0.5950650482364714,0.021084722085641282,3,0.5950245870558057,0.020184289176629986,3,0.5950245870558057,0.020184289176629986,3,0.9351003282870513,0.011443598921461153,3,,,0,2.0006136722865464,0.051734998347834155,3,18.587833333333332,1.277239415040631,3,0.0,0.0,3,0.0,0.0,3,3,3,0,1.0,True
letter,6,self_training_catboost,500,0.6799166666666666,0.02316291936119743,3,0.6789400134794136,0.023096726019334116,3,0.6794868865636818,0.022418566295995028,3,0.6794868865636818,0.022418566295995028,3,0.9621249004995923,0.004594971836213145,3,,,0,1.5640053182995144,0.03332824177498194,3,16.327333333333332,7.406248647144742,3,0.0,0.0,3,0.0,0.0,3,3,3,0,1.0,True
letter,6,self_training_lightgbm,50,0.27075,0.01381122731693316,3,0.2698977556025594,0.0157946981120301,3,0.2316270623901946,0.032446158689349025,3,0.2316270623901946,0.032446158689349025,3,0.6963189800639812,0.010641504478468126,3,,,0,7.079873852196566,0.7011533377043513,3,140.98576666666665,30.272451211346155,3,5135.333333333333,588.3717645616022,3,0.32196447230929987,0.03688851188473995,3,3,3,0,1.0,True
letter,6,self_training_lightgbm,100,0.5139166666666667,0.010713115015406841,3,0.5130574145886008,0.010335941058548235,3,0.5037170821233315,0.01769405545214797,3,0.5037170821233315,0.01769405545214797,3,0.8527413261534921,0.00707654377252943,3,,,0,3.6426057576312,0.15742417326873698,3,155.98043333333334,51.146982032699974,3,6000.0,0.0,3,0.3773584905660377,0.0,3,3,3,0,1.0,True
letter,6,self_training_lightgbm,250,0.6164999999999999,0.020323939086702714,3,0.6157681268509725,0.019976587803088346,3,0.6139116855538708,0.018480999881841497,3,0.6139116855538708,0.018480999881841497,3,0.9152427550953952,0.007609315071656225,3,,,0,2.513864605089559,0.18330671617256228,3,205.03863333333334,87.0742651612021,3,6000.0,0.0,3,0.3809523809523809,0.0,3,3,3,0,1.0,True
letter,6,self_training_lightgbm,500,0.7008333333333333,0.004639055219905664,3,0.7001495765991385,0.0048026170583474375,3,0.700091383607901,0.004772417038478896,3,0.700091383607901,0.004772417038478896,3,0.9544130697452772,0.002893524235828639,3,,,0,1.7415340731181475,0.06374321853813265,3,315.4952,253.04859258259074,3,6000.0,0.0,3,0.3870967741935483,0.0,3,3,3,0,1.0,True
letter,6,self_training_lr,50,0.31925,0.03440839287150738,3,0.3180749930448904,0.03584747656923241,3,0.2937585853393188,0.04701790002967153,3,0.2937585853393188,0.04701790002967153,3,0.8167255923790805,0.022486912618192707,3,,,0,2.6336402098337808,0.22900726395283785,3,0.8453666666666667,0.5833962832700713,3,92.66666666666667,160.50337483471597,3,0.0058098223615464665,0.01006290751314828,3,3,3,0,1.0,True
