dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count
phoneme,1489,self_training_lr,500,0.7514646931853223,0.011113673321578898,3,0.6651354870321128,0.040634460078910396,3,0.6728469377385009,0.03844379743857243,3,0.6728469377385009,0.03844379743857243,3,0.8088344591804715,0.00890595483710328,3,0.5821673535583095,0.01626174998292156,3,0.792922224137535,0.030737009241531534,3,0.1309,0.03054324802636418,3,3284.0,71.02112361825881,3
phoneme,1489,self_training_xgboost,50,0.7656490903484428,0.022304213777397584,3,0.7093153528113146,0.025855148788017618,3,0.7125548557557062,0.026183389633434525,3,0.7125548557557062,0.026183389633434525,3,0.8184172350956006,0.049241034363903625,3,0.5962102321423672,0.0629267522580572,3,1.8003589709599812,0.26111814217362356,3,18.011200000000002,3.920516696814337,3,4265.333333333333,3.7859388972002623,3
phoneme,1489,self_training_xgboost,100,0.7681159420289855,0.007004512298242723,3,0.70152457319658,0.029645371384644504,3,0.7076656919938551,0.022639395608341616,3,0.7076656919938551,0.022639395608341616,3,0.8323526901965965,0.01232224628462553,3,0.6259494991296366,0.026974289556648982,3,1.6816153526306152,0.08261176183485593,3,26.622200000000003,1.1011494766833425,3,4202.666666666667,13.051181300301389,3
phoneme,1489,self_training_xgboost,250,0.8122109158186864,0.011591086111139412,3,0.7696335078534032,0.01822168079119992,3,0.7715818041738299,0.016034252587050355,3,0.7715818041738299,0.016034252587050355,3,0.8594679890553344,0.02215067075584281,3,0.6959884589534902,0.05211823674763646,3,1.1432253917058308,0.11082680158512652,3,29.183000000000003,1.910167953348605,3,4031.6666666666665,11.06044001535798,3
phoneme,1489,self_training_xgboost,500,0.8260869565217391,0.009746210687190318,3,0.7769893636348622,0.018791234303566964,3,0.784100731728078,0.014667761722358801,3,0.784100731728078,0.014667761722358801,3,0.8828568439944725,0.011010021719973102,3,0.7280447817167887,0.019671234670515684,3,0.8648079832394918,0.05681946708970723,3,29.2747,3.9497443372957695,3,3748.3333333333335,7.6376261582597955,3
phoneme,1489,xgboost,50,0.7681159420289855,0.03401858009077444,3,0.7144442884591035,0.03534314897744615,3,0.7172021659185427,0.03804491039489592,3,0.7172021659185427,0.03804491039489592,3,0.8150596506295384,0.05059890470529821,3,0.6136012991596541,0.06839637148464,3,0.5766030053297678,0.10780365009785618,3,0.8309666666666667,0.27966183746327156,3,,,0
phoneme,1489,xgboost,100,0.7776749922910885,0.009891467735026497,3,0.7156699203373688,0.032465779840628775,3,0.72124869958742,0.02607325129910929,3,0.72124869958742,0.02607325129910929,3,0.8397615351159704,0.014037721624973354,3,0.6443316996305679,0.012831403464289593,3,0.5605852007865906,0.05813834544757262,3,1.0966333333333333,0.3613477595521153,3,,,0
phoneme,1489,xgboost,250,0.8069688559975332,0.014518973008934418,3,0.764386895029206,0.013564861408780843,3,0.7658988542641608,0.01554542247509148,3,0.7658988542641608,0.01554542247509148,3,0.8659471154640196,0.01289359958037054,3,0.7146270214791874,0.035027261096115744,3,0.5009274482727051,0.031537041642430284,3,2.1656,0.367408369529057,3,,,0
phoneme,1489,xgboost,500,0.8313290163428922,0.010314972977907943,3,0.7862349359450785,0.01914662368461634,3,0.7919217109689999,0.014715762941616405,3,0.7919217109689999,0.014715762941616405,3,0.8886250901503514,0.009760540797018243,3,0.7454560269941765,0.01757474732526231,3,0.4585866928100586,0.024872878023987334,3,2.7444666666666664,0.45752165340378526,3,,,0
spambase,44,catboost,50,0.8505247918928701,0.002732477175269907,3,0.8288283618195642,0.014611701755634204,3,0.8374147026743043,0.00782008563810344,3,0.8374147026743043,0.00782008563810344,3,0.9237273352620372,0.010913036288749019,3,0.901174986091655,0.013755995937839568,3,0.4233136886642883,0.036156473122774736,3,2.5379666666666667,0.056953431269181044,3,,,0
spambase,44,catboost,100,0.847267462902642,0.05782544775227649,3,0.8479615312459887,0.03785384249176928,3,0.8423935319117812,0.05431482015954996,3,0.8423935319117812,0.05431482015954996,3,0.9280981861627023,0.006316455402451888,3,0.9166864006896853,0.009120581072672523,3,0.48538154063504013,0.13885147147364854,3,3.0791333333333335,0.19039751398937232,3,,,0
spambase,44,catboost,250,0.9232718060079623,0.011959979472933915,3,0.9159804299100487,0.011838045193197977,3,0.9190592313825884,0.012501332863447196,3,0.9190592313825884,0.012501332863447196,3,0.9636722388433044,0.010707499111240493,3,0.9539125719323441,0.014980905200152378,3,0.24627840842215373,0.06081222136158021,3,3.763,0.4852582714390345,3,,,0
spambase,44,catboost,500,0.9359391965255156,0.0028726941488214897,3,0.9304457083049459,0.002482149603596507,3,0.9325901399634291,0.002937058162373576,3,0.9325901399634291,0.002937058162373576,3,0.9740842771145802,0.0014012460852828794,3,0.9638153352262928,0.006337232736184042,3,0.19658989716143935,0.004534541093288765,3,4.848633333333333,0.1397143633751856,3,,,0
spambase,44,lightgbm,50,0.7752442996742671,0.034128628980459756,3,0.7495334577446015,0.033794765418224466,3,0.7560999438455194,0.03593378343133338,3,0.7560999438455194,0.03593378343133338,3,0.8168718794329743,0.007086316883936238,3,0.7260005110735087,0.006297886838843039,3,0.5066980927255299,0.01826605212643914,3,0.4039333333333333,0.062554323058709,3,,,0
spambase,44,lightgbm,100,0.8349619978284474,0.005428881650380024,3,0.8307463688695359,0.010133566332464967,3,0.828106873651378,0.005333560449064695,3,0.828106873651378,0.005333560449064695,3,0.9070840368494327,0.006354626432067592,3,0.8857778141272475,0.005451879668361993,3,0.5440733867736234,0.040495430343548224,3,1.0251,0.3650279030430412,3,,,0
spambase,44,lightgbm,250,0.9055374592833876,0.01334224291796364,3,0.8979753547202227,0.013290412147607443,3,0.9004725433005433,0.013892745722969242,3,0.9004725433005433,0.013892745722969242,3,0.9599234442831707,0.0089524085937463,3,0.9477702933572489,0.012476679575488939,3,0.4383763362189234,0.1297388682575466,3,2.0539,0.05975709162936237,3,,,0
spambase,44,lightgbm,500,0.9283387622149836,0.004343105320304019,3,0.9212851881473583,0.004789628263877114,3,0.924393908857768,0.004620823815154434,3,0.924393908857768,0.004620823815154434,3,0.9716520039100685,0.006054736139923803,3,0.9634320768499617,0.008044223716257935,3,0.37672958256861655,0.06573023801018936,3,3.7072333333333334,0.4298131260598417,3,,,0
spambase,44,logistic_regression,50,0.8226565327542527,0.04577462686576152,3,0.8040645951203137,0.06882035417293661,3,0.8061090647184472,0.060737375459932,3,0.8061090647184472,0.060737375459932,3,0.9059674621746958,0.0381732793919471,3,0.8420333438419023,0.052683547587831926,3,0.43945861119503954,0.07880657611421711,3,0.12103333333333333,0.022250468159868756,3,,,0
spambase,44,logistic_regression,100,0.8769453492580528,0.010656845359634678,3,0.8769463945417025,0.019144463255344902,3,0.8722720801038895,0.012597886355452066,3,0.8722720801038895,0.012597886355452066,3,0.9353069634105804,0.007811561177580224,3,0.8699603199990364,0.015450518993864406,3,0.40771863394105456,0.03071503840570473,3,0.09883333333333333,0.019636275953788522,3,,,0
spambase,44,logistic_regression,250,0.8841838581252262,0.010983706771982285,3,0.8782670300265608,0.018780288588989433,3,0.8784153667908038,0.01312005044963166,3,0.8784153667908038,0.01312005044963166,3,0.9366341815022166,0.008024730051653136,3,0.8790232441266529,0.024147418946853783,3,0.40441121376290745,0.062458405143020264,3,0.09133333333333334,0.009300179209742859,3,,,0
spambase,44,logistic_regression,500,0.8997466521896489,0.006362068704758217,3,0.8975285602851585,0.006288120830745135,3,0.89554945525522,0.006541287868174432,3,0.89554945525522,0.006541287868174432,3,0.9509669849357043,0.0031838655801573364,3,0.8987953642426768,0.015755888663671,3,0.3597106344355459,0.02164824743991935,3,0.09700000000000002,0.019374983870961027,3,,,0
