dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean,n_paired_seeds,n_expected_seeds,pair_complete,comparison_warning
spambase,rpl_lite_xgboost,xgboost,100,-0.01757309162001249,0.008651881379605096,-0.019586768903059548,0.009812117883538678,-0.007148710961027686,0.0005366143155064569,4.427921678626256,0.488268156424581,3,3,True,
spambase,rpl_lite_xgboost,xgboost,250,-0.01132290648419687,0.003671414538348518,-0.012096923070277729,0.0025525903952285487,-0.0088387952513073,0.0033931325709169744,4.44537034788051,0.4880466472303207,3,3,True,
spambase,rpl_lite_xgboost,xgboost,500,-0.00851871599672179,0.003602286921963852,-0.00808913751819662,0.00469931896029803,-0.003434475086478872,0.0025241330570131,2.857099993678743,0.48805031446540886,3,3,True,
spambase,rpl_lr,logistic_regression,50,0.001276202889106089,0.011308777784043123,0.004218481324590055,0.013224901884310584,0.014587879446139448,0.004830653717899182,1.8135403515952826,,3,3,True,
spambase,rpl_lr,logistic_regression,100,-0.002633865537091292,0.002606147699006955,-3.240922263847423e-05,0.003584378477700987,0.003101230618337151,0.002526479629104455,1.4173220346761963,,3,3,True,
spambase,rpl_lr,logistic_regression,250,0.0009676431963822063,0.004488292956566192,0.002256918146648005,0.0036048298153605962,0.003227945798815616,0.0009061206897599944,1.7566696443941252,,3,3,True,
spambase,rpl_lr,logistic_regression,500,-0.0011009409836388502,0.005196784879448283,-0.0005445811744099563,0.004872943430050717,0.0011322083658350524,0.0003051574762145841,3.594639068560584,,3,3,True,
spambase,self_training_catboost,catboost,50,0.01832350879271701,0.07051559855398126,0.010686145215617135,0.07391040390893831,0.007320681563105687,0.03748879242874761,2.5910551610015924,0.37061524334251605,3,3,True,
spambase,self_training_catboost,catboost,100,0.007059845769523158,0.0048395073522847255,0.0021641955792817136,0.004328408142625247,0.0003225477321274761,0.011754948456875865,1.7596620109494465,0.4000000000000001,3,3,True,
spambase,self_training_catboost,catboost,250,-0.021130167757733687,0.02717877949310696,-0.022620323881032522,0.026338684235222558,-0.00917779950038015,0.009222037840232742,1.7123676874502023,0.4000000000000001,3,3,True,
spambase,self_training_catboost,catboost,500,-0.01673874621088704,0.009453490383582378,-0.0157826797668507,0.00792055650175997,-0.005479197316929511,0.001878056150876015,1.5102872200982953,0.4000000000000001,3,3,True,
spambase,self_training_lightgbm,lightgbm,50,0.0,0.0,0.0,0.0,0.0,0.0,1.537544539029579,0.0,3,3,True,
spambase,self_training_lightgbm,lightgbm,100,0.006941358847517194,0.004562950522590784,0.008647668368093683,0.003325387917646959,0.02317077585894774,0.004980372499108319,13.554716288722382,0.488268156424581,3,3,True,
spambase,self_training_lightgbm,lightgbm,250,0.006455068771784367,0.004594546288023573,0.007433777198767884,0.0042137559751959895,0.004021149915578004,0.0047436142740523175,6.24400499989597,0.4880466472303207,3,3,True,
spambase,self_training_lightgbm,lightgbm,500,0.002732604638763051,0.0012990572677359445,0.002714233315653569,0.00046100618231867906,0.000633575902393065,0.0014771509313807978,4.062551441928703,0.48805031446540886,3,3,True,
spambase,self_training_lr,logistic_regression,50,0.011759827009093874,0.007049785165305337,0.01162452471904781,0.005346750533562591,0.019858901823711268,0.004946487164315709,1.1352049999048996,0.5,3,3,True,
spambase,self_training_lr,logistic_regression,100,0.00516652349496934,0.0020695810515715617,0.004996430272703319,0.0018261089638921602,0.003710121745312378,0.003954550329558419,1.3645608940458829,0.5,3,3,True,
spambase,self_training_lr,logistic_regression,250,0.005072721348381141,0.0039768000612290565,0.004090160060970738,0.0035807879510709128,0.0015082397780343815,0.0017469497706128123,0.9636034063091202,0.5,3,3,True,
spambase,self_training_lr,logistic_regression,500,0.001537861508536113,0.0009381643668534907,0.001223157861588664,0.001079649154374632,0.0005422422333467939,0.0005667526240728253,1.0840088425804952,0.5,3,3,True,
spambase,self_training_xgboost,xgboost,50,-0.015593372631495775,0.033204437427604684,-0.0156602679949062,0.03308763106117927,-0.008926014791117506,0.022921557396109075,2.865753240806287,0.48815426997245187,3,3,True,
spambase,self_training_xgboost,xgboost,100,-0.01851358156343504,0.003851059938099245,-0.020407126900684507,0.0054936805100654264,-0.006970157752171506,0.0016689342400959698,3.9301606679248415,0.488268156424581,3,3,True,
spambase,self_training_xgboost,xgboost,250,-0.01426039475892856,0.005812544462672936,-0.014304007035565816,0.004465860907852514,-0.009397494001599468,0.004308784646945467,4.1897750968888765,0.4880466472303207,3,3,True,
spambase,self_training_xgboost,xgboost,500,-0.007323972866494777,0.004480451980494905,-0.006593166698919665,0.005486693601369469,-0.0036261935088912622,0.0034815012052747426,2.8952804077801546,0.48805031446540886,3,3,True,
